Bank,time,ce,IT Expenses,IT Income,IT Investment,IT labour,Price of IT,ATM Transaction,ATM expeses,Credit Card Transaction,Credit card expenses
9,5,0.814268,56,65,234,77,38,242,28,278,65
10,5,0.780373,270,250,574,129,89,581,35,8034,234
11,5,0.623567,584,118,527,55,72,1605,43,8754,287
12,5,0.668948,177,97,728,100,74,463,98,8032,220
13,5,0.761018,546,103,1654,503,243,765,145,12345,1345
14,5,0.386241,28,56,192,92,59,698,6,634,14
15,5,0.912005,28,52,678,62,41,124,12,293,5
16,5,0.326802,229,440,354,79,61,165,67,1345,124
17,5,0.604335,29,62,186,72,41,133,7,2873,164
1,6,0.830472,353,1236,62553,211,157,2454,231,43625,125
2,6,0.859905,843,1236,4288,301,153,333,879,810,125
3,6,0.891734,760,98,1133,120,107,981,14,986,357
4,6,0.824937,435,143,645,82,64,518,25,2673,287
5,6,0.566866,74,245,180,62,54,437,34,1000,98
6,6,0.793068,1240,124,825,82,79,152,25,13000,198
7,6,0.862216,48,150,1750,58,43,175,26,14561,255
8,6,0.809597,408,381,791,123,133,251,159,15226,359
9,6,0.82274,59,66,284,96,57,251,29,298,55
10,6,0.722391,391,350,1114,156,131,601,67,9081,278
11,6,0.820198,750,150,591,68,91,1751,56,14561,325
12,6,0.619471,273,128,714,115,84,500,96,9048,260
13,6,0.809216,689,115,1987,590,331,952,154,13567,1483
14,6,0.413386,55,58,288,108,72,700,5,656,18
15,6,0.816894,31,45,694,81,68,125,22,301,6
16,6,0.451684,559,433,440,101,80,200,54,1567,138
17,6,0.802166,29,68,213,98,66,137,56,2934,175
1,7,0.824042,360,1345,63456,277,178,2705,238,53640,233
2,7,0.861978,1073,1301,5555,344,173,374,960,770,128
3,7,0.723424,980,123,1191,126,141,1451,27,1098,298
4,7,0.825013,476,120,675,98,89,627,40,2643,296
5,7,0.568672,65,486,190,79,74,546,58,800,104
6,7,0.676347,1360,100,951,93,90,155,28,14000,221
7,7,0.754036,57,220,1077,67,56,191,38,15762,273
8,7,0.828878,553,485,883,143,163,260,155,17866,398
9,7,0.814241,63,89,232,111,68,255,39,314,65
10,7,0.795703,214,300,974,233,179,615,68,10567,298
11,7,0.714883,989,150,766,78,121,1912,88,15762,345
12,7,0.674432,382,140,3243,126,122,508,105,10500,243
13,7,0.808284,768,188,2087,675,409,1958,189,26788,1964
14,7,0.457224,45,66,412,132,102,820,9,1078,19
15,7,0.935973,32,55,732,96,83,134,33,316,6
16,7,0.496862,655,350,433,123,118,220,89,2788,196
17,7,0.902676,22,72,425,107,84,140,58,3012,179
1,8,0.562617,369,1425,67543,260,144,3588,311,59421,279
2,8,0.893327,1023,1231,4878,385,164,456,851,8717,127
3,8,0.696932,1160,145,1625,136,158,2871,24,1234,308
4,8,0.629283,498,145,693,105,90,734,48,2867,347
5,8,0.593044,87,784,213,90,101,654,89,1100,134
6,8,0.652364,1031,131,1011,98,97,253,31,16000,213
7,8,0.687201,331,200,2049,68,60,202,42,20080,349
8,8,0.854594,418,512,983,144,179,268,168,20676,402
9,8,0.802418,99,231,283,118,69,253,21,316,74
10,8,0.801269,312,250,1283,191,157,651,87,11356,287
11,8,0.727995,1334,145,827,79,129,2021,142,20080,418
12,8,0.638762,324,83,3820,124,109,599,127,11700,252
13,8,0.828241,1040,248,2134,681,438,2452,115,27655,3455
14,8,0.479556,198,69,583,140,113,934,8,1165,25
15,8,0.926155,109,60,775,106,109,144,44,327,8
16,8,0.542508,824,512,310,135,126,234,85,2655,245
17,8,0.848634,24,80,140,107,89,150,67,3167,169
1,9,0.623266,392,1512,69543,306,152,4331,469,69218,390
2,9,0.883622,1173,1344,4455,317,225,503,963,9102,145
3,9,0.7034,1480,107,2946,149,182,3102,25,1760,324
4,9,0.510544,546,187,702,107,123,749,56,7454,422
5,9,0.591536,96,855,231,94,112,768,145,1800,145
6,9,0.785436,1246,98,1125,101,111,278,36,18000,225
7,9,0.652347,71,240,2856,75,67,213,44,25039,356
8,9,0.82072,648,558,1031,148,182,283,178,22557,412
9,9,0.740522,142,301,358,130,86,278,34,318,88
10,9,0.853245,422,181,1361,207,259,664,91,12789,256
11,9,0.721513,1446,165,950,79,141,2132,144,25039,375
12,9,0.673046,284,107,2846,116,115,728,133,12800,248
13,9,0.877829,1198,298,2143,678,640,2814,345,28765,4673
14,9,0.46203,216,65,697,153,130,1020,10,1276,36
15,9,0.915511,125,77,927,118,121,156,55,337,9
16,9,0.51925,1135,632,309,137,222,220,105,2765,367
17,9,0.843708,82,96,620,109,95,165,89,3275,188
1,10,0.667634,482,2088,71234,426,220,4467,629,79302,420
2,10,0.917372,1421,1455,3600,427,282,654,1023,9532,149
3,10,0.76548,1560,123,3343,188,229,3444,34,2010,456
4,10,0.380552,576,240,758,137,156,863,98,10230,872
5,10,0.561566,103,1430,245,124,151,997,189,2200,187
6,10,0.763322,1520,95,1240,133,140,298,46,26000,236
7,10,0.829087,84,320,4534,97,108,254,54,25054,379
8,10,0.828676,687,598,1135,187,239,313,198,24338,426
9,10,0.801942,176,365,432,179,116,298,42,326,98
10,10,0.851097,469,135,1478,291,364,687,96,14567,247
11,10,0.7306,1787,155,1234,98,132,2542,154,25054,475
12,10,0.623094,293,110,3888,152,158,924,155,14500,262
13,10,0.876128,1345,367,2567,860,855,3216,376,30543,4896
14,10,0.530846,267,78,943,197,176,1234,11,1454,38
15,10,0.92442,187,87,1032,160,167,168,53,348,9
16,10,0.491564,1564,724,632,153,295,334,116,543,389
17,10,0.881898,102,108,625,138,126,198,90,3378,190
