Bank,time,Profit Efficiency,IT Expenses,IT Income,IT Investment,IT labour,Price of IT,ATM Transaction,ATM expeses,Credit Card Transaction,Credit card expenses
1,10,0.425027,482,2088,71234,426,220,4467,629,79302,420
2,10,0.868953,1421,1455,3600,427,282,654,1023,9532,149
3,10,0.933812,1560,123,3343,188,229,3444,34,2010,456
4,10,0.537786,576,240,758,137,156,863,98,10230,872
5,10,0.662727,103,1430,245,124,151,997,189,2200,187
6,10,0.603827,1520,95,1240,133,140,298,46,26000,236
7,10,0.2186,84,320,4534,97,108,254,54,25054,379
8,10,0.502359,687,598,1135,187,239,313,198,24338,426
9,10,0.62246,176,365,432,179,116,298,42,326,98
10,10,0.759095,469,135,1478,291,364,687,96,14567,247
11,10,0.792916,1787,155,1234,98,132,2542,154,25054,475
12,10,0.308077,293,110,3888,152,158,924,155,14500,262
13,10,0.75478,1345,367,2567,860,855,3216,376,30543,4896
14,10,0.846949,267,78,943,197,176,1234,11,1454,38
15,10,0.701576,187,87,1032,160,167,168,53,348,9
16,10,0.772339,1564,724,632,153,295,334,116,543,389
17,10,0.978854,102,108,625,138,126,198,90,3378,190
